transaction_id,internal_amount,reconciliation_status
txn_1,288864.6,MISSING_IN_GATEWAY
txn_2,439301.38,AMOUNT_MISMATCH
txn_3,481648.49,MATCHED
txn_4,33647.49,MATCHED
txn_5,227769.14,MISSING_IN_BANK
txn_6,180033.72,MISSING_IN_GATEWAY
txn_7,483996.73,MATCHED
txn_8,151673.18,MATCHED
txn_9,54601.86,MATCHED
txn_10,470596.59,AMOUNT_MISMATCH
txn_11,331458.52,MATCHED
txn_12,473863.61,MATCHED
txn_13,485152.86,AMOUNT_MISMATCH
txn_14,401789.67,MATCHED
txn_15,194071.83,MATCHED
txn_16,378669.9,MATCHED
txn_17,115464.03,MISSING_IN_BANK
txn_18,93866.12,AMOUNT_MISMATCH
txn_19,307554.37,MATCHED
txn_20,51041.63,MATCHED
txn_21,352046.83,MISSING_IN_BANK
txn_22,45133.82,MATCHED
txn_23,362868.82,AMOUNT_MISMATCH
txn_24,109793.89,MATCHED
txn_25,21760.92,MATCHED
txn_26,378969.15,MISSING_IN_GATEWAY
txn_27,166936.07,MISSING_IN_GATEWAY
txn_28,93527.47,MATCHED
txn_29,195380.87,MATCHED
txn_30,235259.06,MATCHED
txn_31,453330.33,MATCHED
txn_32,217132.67,MATCHED
txn_33,311582.51,MISSING_IN_BANK
txn_34,293600.0,MISSING_IN_GATEWAY
txn_35,384458.09,MATCHED
txn_36,330895.51,MISSING_IN_BANK
txn_37,450568.89,MATCHED
txn_38,263104.09,MATCHED
txn_39,366913.41,MATCHED
txn_40,381652.61,MATCHED
txn_41,291494.13,MATCHED
txn_42,325842.2,AMOUNT_MISMATCH
txn_43,495889.04,MATCHED
txn_44,291996.58,MATCHED
txn_45,410201.09,MATCHED
txn_46,223318.87,MATCHED
txn_47,206906.69,MATCHED
txn_48,255853.32,MISSING_IN_GATEWAY
txn_49,343764.8,MATCHED
txn_50,340506.88,MATCHED
txn_51,478918.95,MATCHED
txn_52,298580.87,MATCHED
txn_53,106959.97,MATCHED
txn_54,188063.76,MISSING_IN_BANK
txn_55,204395.8,MISSING_IN_BANK
txn_56,172234.32,MATCHED
txn_57,498468.02,MATCHED
txn_58,123153.96,MISSING_IN_BANK
txn_59,153572.27,MATCHED
txn_60,451995.28,MATCHED
txn_61,355771.42,MATCHED
txn_62,149520.95,MISSING_IN_BANK
txn_63,453088.68,MATCHED
txn_64,240499.76,MATCHED
txn_65,212906.27,MISSING_IN_GATEWAY
txn_66,473689.99,MATCHED
txn_67,197447.42,MATCHED
txn_68,404838.31,MATCHED
txn_69,145097.05,MISSING_IN_BANK
txn_70,240692.19,MATCHED
txn_71,176931.62,MISSING_IN_BANK
txn_72,109714.04,MISSING_IN_GATEWAY
txn_73,201887.88,MATCHED
txn_74,226705.67,MATCHED
txn_75,76166.69,MISSING_IN_BANK
txn_76,237879.54,MATCHED
txn_77,33704.74,MATCHED
txn_78,475551.54,MISSING_IN_BANK
txn_79,322674.07,MISSING_IN_BANK
txn_80,484316.83,MATCHED
txn_81,436700.4,MATCHED
txn_82,344315.44,AMOUNT_MISMATCH
txn_83,88738.18,MATCHED
txn_84,474093.8,MISSING_IN_GATEWAY
txn_85,496170.22,MATCHED
txn_86,285539.2,MATCHED
txn_87,14772.64,MISSING_IN_BANK
txn_88,453458.6,MATCHED
txn_89,325939.13,MISSING_IN_GATEWAY
txn_90,494191.55,MATCHED
txn_91,225822.13,MISSING_IN_GATEWAY
txn_92,378000.23,MATCHED
txn_93,175491.5,AMOUNT_MISMATCH
txn_94,375970.93,MISSING_IN_GATEWAY
txn_95,437901.51,MATCHED
txn_96,397585.81,MATCHED
txn_97,97936.65,MISSING_IN_GATEWAY
txn_98,212456.85,MISSING_IN_GATEWAY
txn_99,98641.82,MISSING_IN_BANK
txn_100,277422.87,MATCHED
txn_101,279425.61,MISSING_IN_GATEWAY
txn_102,245252.82,MISSING_IN_BANK
txn_103,223100.56,AMOUNT_MISMATCH
txn_104,393667.12,MATCHED
txn_105,112162.02,MATCHED
txn_106,388930.9,MATCHED
txn_107,417748.38,MISSING_IN_BANK
txn_108,437672.05,MATCHED
txn_109,61112.06,MATCHED
txn_110,9420.35,MATCHED
txn_111,6695.79,MISSING_IN_GATEWAY
txn_112,23467.11,MATCHED
txn_113,477365.17,MISSING_IN_BANK
txn_114,221241.3,MATCHED
txn_115,496920.93,MATCHED
txn_116,453784.32,MATCHED
txn_117,193919.84,MISSING_IN_BANK
txn_118,48185.83,MATCHED
txn_119,50385.42,MATCHED
txn_120,28076.31,MATCHED
txn_121,192971.11,MISSING_IN_BANK
txn_122,422294.86,MATCHED
txn_123,240089.36,MISSING_IN_BANK
txn_124,130605.48,MATCHED
txn_125,47983.74,MATCHED
txn_126,144715.77,MISSING_IN_BANK
txn_127,199243.18,MATCHED
txn_128,26435.94,MATCHED
txn_129,268574.17,AMOUNT_MISMATCH
txn_130,376316.58,MISSING_IN_BANK
txn_131,340125.96,MATCHED
txn_132,264355.79,AMOUNT_MISMATCH
txn_133,459316.25,MATCHED
txn_134,444134.48,MATCHED
txn_135,433535.01,MATCHED
txn_136,126012.96,MATCHED
txn_137,477637.08,MATCHED
txn_138,434219.64,MATCHED
txn_139,154940.51,MATCHED
txn_140,292933.1,MATCHED
txn_141,400225.78,MISSING_IN_GATEWAY
txn_142,488837.74,AMOUNT_MISMATCH
txn_143,104658.86,MISSING_IN_BANK
txn_144,405220.1,MISSING_IN_GATEWAY
txn_145,445952.46,MISSING_IN_GATEWAY
txn_146,271235.04,MATCHED
txn_147,341802.05,MATCHED
txn_148,138664.52,MATCHED
txn_149,414494.28,AMOUNT_MISMATCH
txn_150,227117.54,MATCHED
txn_151,202651.8,MATCHED
txn_152,340122.18,MISSING_IN_GATEWAY
txn_153,251009.65,MATCHED
txn_154,57361.01,MATCHED
txn_155,403264.32,MATCHED
txn_156,290703.22,MATCHED
txn_157,417200.33,MATCHED
txn_158,219187.9,MATCHED
txn_159,151466.32,MISSING_IN_GATEWAY
txn_160,75149.38,AMOUNT_MISMATCH
txn_161,93513.09,MISSING_IN_BANK
txn_162,104949.85,MATCHED
txn_163,47513.19,MISSING_IN_BANK
txn_164,217025.87,MATCHED
txn_165,66227.94,MATCHED
txn_166,212656.08,MISSING_IN_BANK
txn_167,31581.27,MATCHED
txn_168,237821.85,MISSING_IN_BANK
txn_169,422991.56,MATCHED
txn_170,283454.05,MATCHED
txn_171,295830.48,MATCHED
txn_172,311984.98,MISSING_IN_BANK
txn_173,290311.73,MATCHED
txn_174,152483.52,MISSING_IN_GATEWAY
txn_175,491808.43,MISSING_IN_GATEWAY
txn_176,280961.59,MATCHED
txn_177,45402.98,MISSING_IN_BANK
txn_178,39907.2,MISSING_IN_BANK
txn_179,9603.06,MISSING_IN_BANK
txn_180,310780.57,MATCHED
txn_181,467802.17,MATCHED
txn_182,399533.05,MISSING_IN_GATEWAY
txn_183,194633.75,MISSING_IN_GATEWAY
txn_184,215968.98,MATCHED
txn_185,352436.65,MATCHED
txn_186,203524.9,MATCHED
txn_187,359537.86,MATCHED
txn_188,177676.1,MISSING_IN_BANK
txn_189,14026.93,MISSING_IN_GATEWAY
txn_190,381639.74,MATCHED
txn_191,253111.39,MATCHED
txn_192,412854.56,MISSING_IN_BANK
txn_193,233822.7,MATCHED
txn_194,63278.65,MISSING_IN_BANK
txn_195,54322.42,MATCHED
txn_196,360611.48,MATCHED
txn_197,355729.58,MATCHED
txn_198,304557.31,MATCHED
txn_199,410522.81,MISSING_IN_BANK
txn_200,314012.63,MISSING_IN_GATEWAY
