transaction_id,settlement_status,amount,timestamp
txn_1,SETTLED,288864.6,2026-05-13 23:31:38.380486
txn_2,SETTLED,439301.38,2026-05-13 23:31:39.380486
txn_3,SETTLED,481648.49,2026-05-13 23:31:40.380486
txn_4,SETTLED,33647.49,2026-05-13 23:31:41.380486
txn_6,SETTLED,180033.72,2026-05-13 23:31:43.380486
txn_7,SETTLED,483996.73,2026-05-13 23:31:44.380486
txn_8,SETTLED,151673.18,2026-05-13 23:31:45.380486
txn_9,SETTLED,54601.86,2026-05-13 23:31:46.380486
txn_10,SETTLED,470596.59,2026-05-13 23:31:47.380486
txn_11,SETTLED,331458.52,2026-05-13 23:31:48.380486
txn_12,SETTLED,473863.61,2026-05-13 23:31:49.380486
txn_13,SETTLED,485152.86,2026-05-13 23:31:50.380486
txn_14,SETTLED,401789.67,2026-05-13 23:31:51.380486
txn_15,SETTLED,194071.83,2026-05-13 23:31:52.380486
txn_16,SETTLED,378669.9,2026-05-13 23:31:53.380486
txn_18,SETTLED,93866.12,2026-05-13 23:31:55.380486
txn_19,SETTLED,307554.37,2026-05-13 23:31:56.380486
txn_20,SETTLED,51041.63,2026-05-13 23:31:57.380486
txn_22,SETTLED,45133.82,2026-05-13 23:31:59.380486
txn_23,SETTLED,362868.82,2026-05-13 23:32:00.380486
txn_24,SETTLED,109793.89,2026-05-13 23:32:01.380486
txn_25,SETTLED,21760.92,2026-05-13 23:32:02.380486
txn_26,SETTLED,378969.15,2026-05-13 23:32:03.380486
txn_27,SETTLED,166936.07,2026-05-13 23:32:04.380486
txn_28,SETTLED,93527.47,2026-05-13 23:32:05.380486
txn_29,SETTLED,195380.87,2026-05-13 23:32:06.380486
txn_30,SETTLED,235259.06,2026-05-13 23:32:07.380486
txn_31,SETTLED,453330.33,2026-05-13 23:32:08.380486
txn_32,SETTLED,217132.67,2026-05-13 23:32:09.380486
txn_34,SETTLED,293600.0,2026-05-13 23:32:11.380486
txn_35,SETTLED,384458.09,2026-05-13 23:32:12.380486
txn_37,SETTLED,450568.89,2026-05-13 23:32:14.380486
